.000000,,.000000,
.000000,,.000000,
.000000,,.000000,
.000000,,.000000,
.000000,,.000000,
.000000,,.000000,
39.190902,N,-096.584117,W
39.190883,N,-096.584107,W
39.190872,N,-096.584123,W
39.190899,N,-096.584146,W
39.190911,N,-096.584149,W
39.190921,N,-096.584151,W
39.190935,N,-096.584156,W
39.190953,N,-096.584158,W
39.190950,N,-096.584159,W
39.190952,N,-096.584160,W
39.190952,N,-096.584161,W
39.190952,N,-096.584159,W
39.190953,N,-096.584159,W
39.190957,N,-096.584160,W
39.190958,N,-096.584160,W
39.190957,N,-096.584161,W
39.190961,N,-096.584162,W
39.190962,N,-096.584162,W
39.190966,N,-096.584162,W
39.190966,N,-096.584163,W
39.190967,N,-096.584163,W
39.190968,N,-096.584163,W
39.190968,N,-096.584162,W
39.190966,N,-096.584160,W
39.190965,N,-096.584159,W
39.190963,N,-096.584159,W
39.190964,N,-096.584158,W
39.190963,N,-096.584157,W
39.190963,N,-096.584157,W
39.190964,N,-096.584157,W
39.190963,N,-096.584156,W
39.190962,N,-096.584155,W
39.190962,N,-096.584154,W
39.190962,N,-096.584154,W
39.190961,N,-096.584152,W
39.190959,N,-096.584150,W
39.190959,N,-096.584149,W
39.190957,N,-096.584148,W
39.190957,N,-096.584147,W
39.190954,N,-096.584146,W
39.190953,N,-096.584145,W
39.190952,N,-096.584144,W
39.190950,N,-096.584143,W
39.190950,N,-096.584143,W
39.190950,N,-096.584143,W
39.190953,N,-096.584143,W
39.190954,N,-096.584143,W
39.190961,N,-096.584147,W
39.190963,N,-096.584148,W
39.190960,N,-096.584152,W
39.190963,N,-096.584156,W
